index,label,preprocessed_news
0,fake,katia abreu diz vai colocar expulsao moldura nao reclamar senadora katia abreu disse expulsao pmdb resultado acao cupula atual legenda segundo oportunista amanha vou botar moldura dourada expulsao porque maos onde veio atestado boa conduta curriculo pessoas expulsaram nao servem pais servem pais beneficios proprios disse katia abreu ue expulsao algo tao bom curriculo tanta choradeira katia sabemos motivo provavelmente katia nao valor pt partido ja deveria absorvido parece pt gostava katia somente ficasse entrincheirada dentro pmdb rebaixar demais resta katia ficar chorando pitangas todos cantos tempo ate momento pt nao cadastrou katia abreu fileiras situacao patetica agricultura dilma
1,fake,ray peita bolsonaro conservador fake entrevista danilo gentili divide direita site vem avisando jair bolsonaro deveria abandonar pauta estatista vez fazer discurso convincente boa parte liberais conservadores brasil querem ver livres amarras estatais tudo bem pesquisas ainda dizem maior parte povo contra privatizacoes indice pouco povo facil ser revertido ademais bolsonaro deveria falar direitistas vez focar tanto petistas arrependidos recentemente disse pensaria vezes antes privatizar petrobras nao caia maos chineses algo tipo deveria ter dito garanto privatizacao petrobras tambem garanto chineses nao irao nao deixaria brechas jeito falou parece suposto medo venda chineses pretexto evitar privatizacao la direita vai ter adotar alternativas foquem estado reduzido diminuicao impostos venda estatais alem joao amoedo rey fazendo vicejar tipo discurso ainda candidatura fase inicial complicado bolsonaro aparecam pessoas direita propondo visao economicamente direitista economia enfim veja rey espinafrando bolsonaro brechas nao pode reclamar outros aproveitem nao
2,fake,reinaldo azevedo desmascarado policia federal ferrenho critico presidenciavel jair bolsonaro desmascarado grampo telefonico conversas irma aecio neves conversa debochavam juiz sergio moro operacao lava jato agora ficou clara intencao jornalista fazer defesas tao ferrenhas tucanos colunas veja jovem pan amigo intimo familia neves alto tucanato fazia propaganda psdbista inves jornalismo jornalista reinaldo azevedo conversa andrea neves irma senador afastado aecio neves interceptada policia federal assunto tratado sao acusacoes contra aecio contidas delacao odebrecht dialogo classificou reportagem revista veja onde trabalhava demitido nojenta referia edicao trouxe aecio capa titulo vez aecio reinaldo criticou tambem republica rodrigo janot dizia janot atacava aecio supostas pretensoes candidatar governo minas gerais senado assim conversa divulgada colunista demitido veja esperar fez vitima ha agressao garantias profissao menos crime sendo cometido sigilo conversa jornalista fonte pilares jornalismo escreveu gravacoes anexadas republica conjunto audios anexados inquerito provocou afastamento aecio prisao irma sabe breve poderemos ver reinaldo fazendo companhia amigo tucano cadeia
3,fake,relatorio assustador bndes mostra dinheiro publico brasil jorrando paises comunistas relatorio intitulado bndes transformado robin hood avessas mostra bndes influenciado governo petista conseguiu beneficiar pequeno percentual empresas escolhidas dedo afundou instituicao dividas astronomicas autoria deputada cristiane brasil documento apresentado cpi bndes mostra pt apossou banco conceder beneficios paises comunistas trecho documento destaca existencia contratos secretos suspeitas pratica atos corrupcao criacao empresas fachada beneficiar paises cuba angola venezuela republica dominicana guatemala outros cristiane apontou gama irregularidades concessao creditos relatou nao respeito procedimentos propria instituicao tampouco leis regulamentam operacoes precisamos urgentemente derrubar sigilo desses contratos secretos desmascarar vez pilantragem feita dinheiro publico abaixo resumo documento texto oficial voce pode conferir site camara federal ha diversas suspeitas irregularidades area internacional sendo auditadas contratos cerca r milhoes aprovados diretoria respectiva poucos paragrafos utilizacao termos genericos abstratos analise especifica sobre obra sera realizada pedidos financiamento realizacao obras distintas paises diferentes sao aprovados praticamente mesma fundamentacao utilizacao mesmas expressoes qualquer indicativo nacoes obras serem realizadas sao distintas ocorre exemplo comparamos processos concessao financiamento obras realizadas guatemala republica dominicana embora tratem obras paises diversos fundamentacao concessao respectivos emprestimos praticamente mesma afirmando contrato produzira fomento porque ajudara pais exportar divisas sic servicos nenhum momento relatorios indicam quais serao beneficios sociais pais projeto nao ha mencao sobre numero empregos serao gerados brasil menos efeito operacao tera parque industrial brasileiro maior detalhamento poderia ser adotado bndes melhorar transparencia governanca ademais caso operacoes venezuela ha processo andamento tcu proposta aplicacao multa bndes pese pratica corriqueira banco decisoes finais acerca financiamento aprovadas conselho administrativo tcu vem entendendo diretoria respectiva pode ser responsabilizada decisoes orgao controle aponta ainda falta registro arquivos banco fundamentacoes decisoes conselho critica classifica parecer oral sobre financiamentos determinados relatorios decisoes diretoria alguns erros digitacao implicaram celebracao contratos valores financiamento inferiores pretendidos supostas falhas transcricao documentos culminou erro autorizacao prazo deferido financiamento corpo tecnico bndes demonstre alta capacidade falhas comprometem qualidade procedimento ha questione nao caso mera chancela decisoes previamente tomadas instancias superiores governos sucessivos pt favorecimento amigos rei brahma outro lado revisao dessas praticas aprimorara transparencia lisura instituicao
4,fake,radialista americano fala sobre pt vendem ilusao povo brasileiro so pensam divertir sitio radialista americano alex jones chorou falar criancas saude brasil jones citou microcefalia espalha mundo partir descaso crise politica esquerda nao faz nada so vendem ilusoes sei deveria disse jones fim video radialista falou sobre surto microcefalia nao conteve caiu lagrimas criancas nao amparo precisamos pessoas boas ajudar pessoas deixaram microcefalia crescer nesse pais
5,fake,willian waack continuara internado sirio libanes apresentador jornal globo ficara afastado funcoes tempo indeterminado waack continuara internado hospital sao paulo onde submetido ultima procedimento cateterismo recebeu quatro stents tubo metalico usado desobstruir arterias quadro ainda considerado delicado rede globo ainda nao manifestaram publicamente sobre situacao waack jornalista apresentador carlos tramontina continuara substituindo willian comando jornal globo
6,fake,problema cardiaco tira william waack jornal globo apresentador sera operado amanha waack ficara afastado temporariamente jornal globo apos submeter exames rotina medicos determinaram jornalista passe cateterismo procedimento utilizado diagnosticar tratar doencas cardiacas waack ja internado hospital sirio libanes onde fara cirurgia manha dessa carlos tramontina precisou ser convocado ultima hora comandara jornal globo proximos dias sirio ainda nao emitiu nenhuma nota sobre estado saude ancora global
7,fake,edir macedo podera disputar eleicoes presidenciais caso lula absolvido instancia dificil acontecer eleicoes segundo pesquisas preliminares apontam segundo turno disputadissimo petista deputado jair bolsonaro ainda cedo prever futuro politico pais novos nomes ja estao sendo confirmados concorrer cargo maximo planalto senadores paranaenses alvaro dias roberto requiao marina silva ciro gomes ce atual governador sp geraldo alckmin tambem confirmaram pretendem concorrer proximas eleicoes presidenciais liderancas religiosas nao querem ficar ja articulam lancar proprio candidato bispo edir macedo dono igreja universal tv record nao descartou possibilidade colocar nome urnas eletronicas proximo ano bancada evangelica congresso reunido frequencia rede globo principal desafeto tv record ainda nao escolheu nome apoiar tudo indica familia marinho forte admiracao presidente stf ministra carmen lucia jose serra aecio neves joaquim barbosa nomes ventilados porem ainda nao nenhuma confirmacao
8,fake,boechat sobre lula alma pode ser honesta governo diabo lula todo direito dizer alma pode ser honesta porem nao significa nada disse governo diabo partido diabo tesoureiro pt vaccari tentou isentar cana ze dirceu figura importante partido cana disse boechat confira
9,fake,pt diz lula nao dinheiro sobreviver chama moro mentiroso mesquinho conspirador partido trabalhadores soltou nota repudio decisao juiz sergio moro sobre bloqueio patrimonios r mil partido alega lula pobre nao dinheiro basico abre aspas condenar lula provas propagar mentiras contradizer propria sentenca juiz sergio moro decidiu agora inocente bloquear bens lula moro decretou pena asfixia economica priva casa meios subsistir ate defender falsas acusacoes decisao mesquinha tramada segredo longo meses forca tarefa curitiba concluida apos forte reacao sociedade mundo juridico sentenca injusta caso triplex caso tipico retaliacao vale cumplicidade rede globo cometer todo tipo arbitrariedades contra maior lider popular pais fecha aspas
